group,actual,predicted,p_churn,confidence,GuestID,PromoCode,Region,AllInclusive,PackageType,Age,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,BookingChannel,AgeGroup,ReferralSource,Churned,BookingYear,BookingMonth,BookingDayOfWeek,BookingIsWeekend,DaysSinceFirstBooking,RoomBuilding,RoomNumber,RoomSection,AgeKnown,RoomService_log,Dining_log,Retail_log,Spa_log,Entertainment_log,TotalSpend,TotalSpend_log,SpendCategories,PromoCode_missing,Region_missing,AllInclusive_missing
correct,1,1,0.9917663688205577,0.9917663688205577,104732,PromoB,Europe,1.0,Adventure,25.0,0.0,0,0,0,0,0,2129,5,111,Phone,Young,Google,1,2023,7,5,1,188,C,335.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.8209544415623874,0.8209544415623874,506375,,Americas,0.0,Relaxation,21.0,,0,198,559,19,44,5368,4,212,Website,Young,Facebook,1,2024,7,1,0,548,F,912.0,S,1,0.0,5.293304824724492,6.327936783729195,2.995732273553991,3.8066624897703196,820,6.710523109452428,4,1,0,0
correct,1,1,0.7868527794657131,0.7868527794657131,232772,PromoA,AsiaPacific,1.0,Relaxation,,0.0,0,0,0,0,0,3818,4,171,TravelAgent,Young,TripAdvisor,1,2024,7,3,0,557,F,91.0,S,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.16266218693680598,0.837337813063194,705111,PromoA,Europe,0.0,Relaxation,49.0,0.0,4,44,1401,1043,0,6280,2,114,Mobile,Senior,TripAdvisor,0,2024,6,6,1,532,A,91.0,P,1,1.6094379124341003,3.8066624897703196,7.2456550675945355,6.950814768442584,0.0,2492,7.821242083523558,4,0,0,0
correct,1,1,0.994848461824954,0.994848461824954,366871,,Europe,1.0,Adventure,24.0,0.0,0,0,0,0,0,5916,1,151,Mobile,Young,TikTok,1,2023,12,1,0,352,B,227.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,0,0,0.13398163984984146,0.8660183601501585,439171,PromoA,Americas,0.0,Relaxation,34.0,0.0,204,160,0,611,44,5489,4,186,Corporate,Middle,Facebook,0,2023,10,5,1,286,G,838.0,P,1,5.3230099791384085,5.081404364984463,0.0,6.416732282512326,3.8066624897703196,1019,6.927557906278317,4,0,0,0
correct,1,1,0.8546660087036821,0.8546660087036821,596810,PromoA,Americas,1.0,Relaxation,22.0,0.0,0,0,0,0,0,8363,4,329,Phone,Young,Google,1,2024,7,3,0,571,G,852.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.22056244305420775,0.7794375569457923,547464,PromoB,Americas,1.0,Relaxation,42.0,0.0,0,0,0,0,0,6830,4,20,TravelAgent,Middle,Email,0,2024,12,3,0,725,G,309.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.10131165625292818,0.8986883437470718,528871,PromoB,Europe,0.0,Relaxation,55.0,,916,1056,0,1677,593,7689,1,93,TravelAgent,Senior,TripAdvisor,0,2023,1,2,0,17,C,229.0,S,1,6.821107472256465,6.963189985870238,0.0,7.425357887027151,6.386879319362645,4242,8.353025845202325,4,0,0,0
correct,1,1,0.9931214004097905,0.9931214004097905,230361,,Europe,1.0,Adventure,31.0,1.0,0,0,0,0,0,7974,4,107,Phone,Middle,Facebook,1,2023,12,5,1,356,,,,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.8918059141656399,0.8918059141656399,337509,PromoB,AsiaPacific,1.0,Relaxation,26.0,0.0,0,0,0,0,0,9634,3,212,Corporate,Young,Instagram,1,2023,1,5,1,6,E,506.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.31591194119586236,0.6840880588041376,504922,PromoB,Americas,0.0,Wellness,21.0,0.0,0,12,580,0,79,8737,1,127,Mobile,Young,Facebook,0,2024,1,2,0,367,F,102.0,S,1,0.0,2.5649493574615367,6.364750756851911,0.0,4.382026634673881,671,6.51025834052315,3,0,0,0
correct,0,0,0.07397975902633376,0.9260202409736662,950583,PromoB,Americas,0.0,Adventure,59.0,0.0,460,139,0,1,0,8609,5,312,Corporate,Senior,Friend,0,2024,12,0,0,715,F,997.0,P,1,6.133398042996649,4.941642422609304,0.0,0.6931471805599453,0.0,600,6.398594934535208,3,0,0,0
correct,1,1,0.7000094267274688,0.7000094267274688,815369,,Americas,1.0,,23.0,0.0,0,0,0,0,0,8624,5,122,Website,Young,Facebook,1,2024,12,2,0,703,G,91.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,0,0,0.1285286719988123,0.8714713280011877,452837,PromoB,,0.0,Adventure,31.0,0.0,995,7,1213,0,687,2845,1,175,Mobile,Middle,Google,0,2024,8,1,0,590,F,500.0,S,1,6.903747257584598,2.0794415416798357,7.101675971619444,0.0,6.5337888379333435,2902,7.97349996402463,4,0,1,0
correct,0,0,0.032409602440652066,0.967590397559348,527411,,AsiaPacific,0.0,Relaxation,55.0,0.0,2424,0,1,0,284,2935,4,163,TravelAgent,Senior,Friend,0,2024,2,1,0,422,D,66.0,S,1,7.793586803371584,0.0,0.6931471805599453,0.0,5.652489180268651,2709,7.904703913873747,3,1,0,0
correct,0,0,0.08811076003197267,0.9118892399680273,777631,PromoA,Americas,0.0,Relaxation,23.0,0.0,509,0,193,0,2,2037,1,184,TravelAgent,Young,Twitter,0,2024,6,6,1,539,G,1205.0,P,1,6.234410725718371,0.0,5.267858159063328,0.0,1.0986122886681098,704,6.558197802812269,3,0,0,0
correct,0,0,0.09141026075764272,0.9085897392423573,566477,PromoA,Americas,0.0,Relaxation,26.0,0.0,808,207,0,16,3,6091,1,197,Mobile,Young,Radio,0,2024,2,4,0,404,G,598.0,P,1,6.695798917058491,5.337538079701318,0.0,2.833213344056216,1.3862943611198906,1034,6.942156705699469,4,0,0,0
correct,0,0,0.02460363901362789,0.9753963609863721,451349,PromoA,AsiaPacific,0.0,Relaxation,13.0,0.0,7172,0,157,20,0,5158,4,76,Corporate,Minor,Pinterest,0,2024,6,2,0,542,F,299.0,S,1,8.878079256126435,0.0,5.062595033026967,3.044522437723423,0.0,7349,8.902455592206882,3,0,0,0
correct,1,1,0.8888499146529412,0.8888499146529412,541373,,Americas,0.0,Adventure,13.0,0.0,8,1385,1445,250,8,7433,4,29,Website,Minor,Google,1,2024,1,0,0,386,F,872.0,S,1,2.1972245773362196,7.234177179749849,7.27655640271871,5.5254529391317835,2.1972245773362196,3096,8.038189179973203,5,1,0,0
correct,1,1,0.8804361993557276,0.8804361993557276,652554,,Americas,1.0,Wellness,24.0,0.0,0,0,0,0,0,7218,2,161,Corporate,Young,Instagram,1,2023,3,5,1,62,G,1309.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.9765308866411574,0.9765308866411574,606988,,Europe,1.0,Adventure,35.0,0.0,0,0,0,0,0,9920,3,336,Phone,Middle,Friend,1,2023,6,2,0,178,C,104.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,0,0,0.2909012380509083,0.7090987619490917,577713,,Americas,0.0,Wellness,23.0,0.0,90,4,0,7,588,4311,1,289,Mobile,Young,Magazine,0,2024,7,6,1,553,F,1553.0,S,1,4.51085950651685,1.6094379124341003,0.0,2.0794415416798357,6.3784261836515865,689,6.536691597591305,4,1,0,0
correct,0,0,0.025407499297901037,0.974592500702099,841854,PromoB,Americas,0.0,Relaxation,18.0,0.0,95,0,0,13,622,6423,1,116,Corporate,Minor,Friend,0,2024,2,2,0,416,F,808.0,P,1,4.564348191467836,0.0,0.0,2.6390573296152584,6.434546518787453,730,6.594413459749778,3,0,0,0
correct,0,0,0.01464134773328974,0.9853586522667103,462421,PromoA,AsiaPacific,0.0,Relaxation,32.0,0.0,598,0,138,0,624,7922,5,10,Website,Middle,Yelp,0,2023,12,3,0,361,E,155.0,P,1,6.395261598115449,0.0,4.9344739331306915,0.0,6.437751649736401,1360,7.215975002651466,3,0,0,0
correct,1,1,0.6304847598266156,0.6304847598266156,544646,,Americas,1.0,Relaxation,54.0,0.0,0,0,0,0,0,5090,1,56,Mobile,Senior,Friend,1,2024,8,0,0,596,,,,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,0,0,0.04946219804542474,0.9505378019545753,400523,,Americas,0.0,Relaxation,49.0,0.0,820,1,690,292,13,7652,3,237,Phone,Senior,Friend,0,2024,1,1,0,373,G,740.0,P,1,6.710523109452428,0.6931471805599453,6.53813982376767,5.680172609017068,2.6390573296152584,1816,7.504942068396171,5,1,0,0
correct,0,0,0.06834069169552322,0.9316593083044767,455168,PromoA,Americas,0.0,Relaxation,16.0,0.0,0,0,752,0,235,2564,2,238,Phone,Minor,Friend,0,2023,12,2,0,360,E,73.0,P,1,0.0,0.0,6.6240652277998935,0.0,5.4638318050256105,987,6.895682697747868,2,0,0,0
correct,1,1,0.966164058044471,0.966164058044471,405863,,Europe,0.0,Relaxation,26.0,0.0,135,2080,7,34,84,3612,2,32,Corporate,Young,Radio,1,2024,12,5,1,706,B,266.0,S,1,4.912654885736052,7.640603826393634,2.0794415416798357,3.5553480614894135,4.442651256490317,2340,7.75833346749091,5,1,0,0
correct,1,1,0.9869096837985677,0.9869096837985677,262711,,AsiaPacific,1.0,Relaxation,36.0,0.0,0,0,0,0,0,9400,1,203,Corporate,Middle,Google,1,2024,5,5,1,510,F,1545.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.7330200687001308,0.7330200687001308,797331,,Americas,1.0,Relaxation,13.0,0.0,0,0,0,0,0,9398,3,23,TravelAgent,Minor,TV,1,2023,1,6,1,21,G,70.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,0,0,0.0868134132497658,0.9131865867502342,937721,PromoB,AsiaPacific,0.0,Relaxation,50.0,,690,0,30,762,428,4039,5,264,Mobile,Senior,TripAdvisor,0,2024,12,5,1,727,F,1063.0,S,1,6.53813982376767,0.0,3.4339872044851463,6.637258031284457,6.061456918928017,1910,7.555381944240273,4,0,0,0
correct,0,0,0.38581332398370133,0.6141866760162986,818178,,Americas,0.0,Wellness,50.0,0.0,121,33,0,10,0,1017,2,27,Phone,Senior,Newspaper,0,2024,2,4,0,404,F,655.0,S,1,4.804021044733257,3.5263605246161616,0.0,2.3978952727983707,0.0,164,5.10594547390058,3,1,0,0
correct,0,0,0.26390577312662133,0.7360942268733787,310864,PromoB,Americas,1.0,Relaxation,12.0,0.0,0,0,0,0,0,4978,4,206,Website,Minor,TripAdvisor,0,2023,2,3,0,32,,,,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.9567923334750197,0.9567923334750197,944801,PromoA,AsiaPacific,1.0,Relaxation,39.0,,0,0,0,0,0,7630,5,357,Mobile,Middle,Google,1,2024,2,5,1,398,F,418.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.8865132604234941,0.8865132604234941,969911,,Europe,0.0,Relaxation,28.0,1.0,1222,3119,0,1404,366,4132,5,291,Corporate,Young,Facebook,1,2024,7,5,1,552,C,182.0,S,1,7.109062135687172,8.045588280803528,0.0,7.247792581767846,5.905361848054571,6111,8.718009330846357,4,1,0,0
correct,1,1,0.6134129107814853,0.6134129107814853,732926,,Americas,0.0,Relaxation,22.0,0.0,0,581,226,74,0,4724,5,272,Corporate,Young,TikTok,1,2023,6,0,0,155,G,107.0,S,1,0.0,6.366470447731438,5.424950017481403,4.31748811353631,0.0,881,6.782192056006791,3,1,0,0
correct,0,0,0.051412264719510055,0.9485877352804899,757368,PromoA,Americas,0.0,Relaxation,48.0,0.0,0,0,62,250,0,4097,3,156,Corporate,Senior,Email,0,2024,4,1,0,471,G,614.0,S,1,0.0,0.0,4.143134726391533,5.5254529391317835,0.0,312,5.746203190540153,2,0,0,0
correct,1,1,0.9459032332297834,0.9459032332297834,438423,,Americas,0.0,Relaxation,27.0,0.0,0,1774,0,17,13,4497,2,193,Corporate,Young,Google,1,2024,8,4,0,593,G,949.0,S,1,0.0,7.4815557019095165,0.0,2.8903717578961645,2.6390573296152584,1804,7.498315870766981,3,1,0,0
correct,0,0,0.32007325613874477,0.6799267438612553,992281,PromoA,AsiaPacific,0.0,Relaxation,44.0,0.0,418,971,700,0,0,4456,1,252,Phone,Middle,TV,0,2024,1,2,0,374,F,1786.0,P,1,6.037870919922137,6.879355804460439,6.55250788703459,0.0,0.0,2089,7.644919344958857,3,0,0,0
correct,1,1,0.9702717866770745,0.9702717866770745,114454,PromoA,Europe,1.0,Relaxation,17.0,0.0,0,0,0,0,0,9480,1,34,Website,Minor,Facebook,1,2024,4,5,1,482,B,44.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.8640555394198722,0.8640555394198722,906230,,,0.0,Relaxation,2.0,0.0,0,0,0,0,0,4276,2,18,Mobile,Minor,TripAdvisor,1,2024,6,6,1,532,F,1140.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,1,0
correct,0,0,0.17596240165514523,0.8240375983448548,215430,PromoB,Americas,1.0,Relaxation,58.0,0.0,0,0,0,0,0,7037,5,130,TravelAgent,Senior,Friend,0,2023,8,4,0,236,G,92.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.37218946762187066,0.6278105323781293,974002,PromoB,Americas,1.0,Relaxation,55.0,0.0,0,0,0,0,0,2793,2,29,Phone,Senior,Magazine,0,2024,6,6,1,518,G,3.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.9931160788155965,0.9931160788155965,499460,,AsiaPacific,1.0,Relaxation,,0.0,0,0,0,0,0,2056,5,198,Phone,Minor,Facebook,1,2024,8,5,1,587,F,635.0,S,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.9242361617764848,0.9242361617764848,667620,PromoA,Europe,1.0,,29.0,0.0,0,0,0,0,0,780,5,206,Corporate,Young,Google,1,2024,9,6,1,630,B,145.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.06735063875541172,0.9326493612445883,149748,PromoB,Americas,0.0,Adventure,19.0,0.0,0,207,0,0,828,8163,2,266,Mobile,Young,Email,0,2024,6,2,0,535,F,55.0,S,1,0.0,5.337538079701318,0.0,0.0,6.720220155135295,1035,6.943122422819428,2,0,0,0
correct,1,1,0.5906121013123392,0.5906121013123392,471451,,Americas,1.0,Relaxation,24.0,0.0,0,0,0,0,0,719,5,5,Website,Young,Google,1,2023,9,3,0,256,G,272.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.6611776970853206,0.6611776970853206,255436,,Americas,0.0,Adventure,24.0,0.0,0,0,809,0,0,9533,5,17,Phone,Young,Instagram,1,2024,1,6,1,385,G,1258.0,P,1,0.0,0.0,6.697034247666484,0.0,0.0,809,6.697034247666484,1,1,0,0
correct,1,1,0.9317411851708832,0.9317411851708832,972579,PromoB,Europe,0.0,Relaxation,51.0,0.0,1,3935,0,146,0,586,2,114,Website,Senior,Facebook,1,2024,6,0,0,540,C,107.0,S,1,0.6931471805599453,8.277920258172143,0.0,4.990432586778736,0.0,4082,8.314587291319576,3,0,0,0
correct,0,0,0.16622051633899385,0.8337794836610062,260228,,Americas,0.0,Relaxation,25.0,0.0,0,3,23,693,0,3913,4,90,Mobile,Young,Email,0,2024,7,4,0,551,F,897.0,S,1,0.0,1.3862943611198906,3.1780538303479458,6.542471960506805,0.0,719,6.579251212010101,3,1,0,0
correct,0,0,0.15261719714477626,0.8473828028552237,585962,,,0.0,Relaxation,59.0,1.0,1018,0,209,0,0,345,1,334,Website,Senior,Friend,0,2024,11,5,1,692,F,61.0,S,1,6.926577033222725,0.0,5.3471075307174685,0.0,0.0,1227,7.113142108707088,2,1,1,0
correct,1,1,0.9047695033104487,0.9047695033104487,605555,,Americas,0.0,Adventure,17.0,0.0,44,1535,10,51,0,5978,2,81,Corporate,Minor,LinkedIn,1,2023,7,1,0,198,E,150.0,S,1,3.8066624897703196,7.336936913707618,2.3978952727983707,3.9512437185814275,0.0,1640,7.403061091090091,4,1,0,0
correct,1,1,0.9842196491337474,0.9842196491337474,594110,,AsiaPacific,0.0,Relaxation,3.0,0.0,0,0,0,0,0,3666,1,144,TravelAgent,Minor,YouTube,1,2024,8,5,1,587,F,1667.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,0,0,0.05075600765409666,0.9492439923459033,917834,PromoB,Americas,0.0,Relaxation,23.0,0.0,115,1,0,91,249,6677,1,147,Website,Young,TripAdvisor,0,2024,9,6,1,630,E,276.0,P,1,4.7535901911063645,0.6931471805599453,0.0,4.5217885770490405,5.521460917862246,456,6.124683390894205,4,0,0,0
correct,0,0,0.0982068845045042,0.9017931154954958,781125,PromoB,Americas,0.0,Relaxation,23.0,0.0,0,158,292,0,340,2311,5,157,Website,Young,Friend,0,2024,8,6,1,581,F,1095.0,P,1,0.0,5.0689042022202315,5.680172609017068,0.0,5.831882477283517,790,6.673297967767654,3,0,0,0
correct,1,1,0.8833054904447006,0.8833054904447006,965538,,Americas,0.0,Relaxation,19.0,0.0,0,721,0,25,1,9282,2,256,Phone,Young,YouTube,1,2024,8,3,0,599,F,1634.0,P,1,0.0,6.582025138892826,0.0,3.258096538021482,0.6931471805599453,747,6.617402977974478,3,1,0,0
correct,0,0,0.3595183076720583,0.6404816923279417,397518,PromoA,Americas,1.0,Adventure,,0.0,0,0,0,0,0,2013,3,180,Phone,,Email,0,2024,1,3,0,368,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,1,1,0.795667428899058,0.795667428899058,986329,PromoB,AsiaPacific,1.0,Adventure,29.0,0.0,0,0,0,0,0,1309,4,101,TravelAgent,Young,Billboard,1,2024,12,1,0,702,E,454.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.26782954983548585,0.7321704501645141,629917,PromoA,AsiaPacific,0.0,Relaxation,54.0,0.0,1144,140,2,2,0,2504,1,223,Corporate,Senior,Facebook,0,2024,2,5,1,405,F,1603.0,P,1,7.0431599159883405,4.948759890378168,1.0986122886681098,1.0986122886681098,0.0,1288,7.161622002939187,4,0,0,0
correct,1,1,0.5914740292251893,0.5914740292251893,938628,,Americas,0.0,Relaxation,19.0,0.0,1,172,673,2,11,9071,3,133,Corporate,Young,TV,1,2023,8,1,0,233,G,26.0,P,1,0.6931471805599453,5.153291594497779,6.513230110912307,1.0986122886681098,2.4849066497880004,859,6.756932389247553,5,1,0,0
correct,0,0,0.39927683669905256,0.6007231633009474,299156,,Americas,0.0,Relaxation,31.0,0.0,0,173,409,102,43,204,3,49,TravelAgent,Middle,Email,0,2024,12,2,0,703,F,1745.0,S,1,0.0,5.159055299214529,6.016157159698354,4.634728988229636,3.784189633918261,727,6.590301048196686,4,1,0,0
correct,1,1,0.9237544751769079,0.9237544751769079,453492,,Americas,0.0,Relaxation,51.0,0.0,0,1347,0,43,0,3421,4,274,Phone,Senior,Billboard,1,2023,12,5,1,342,F,556.0,P,1,0.0,7.206377291472252,0.0,3.784189633918261,0.0,1390,7.237778191923443,2,1,0,0
correct,1,1,0.8487238948133274,0.8487238948133274,194990,,Europe,0.0,Relaxation,32.0,0.0,0,4106,388,892,2,3761,4,212,Corporate,Middle,YouTube,1,2024,2,2,0,409,B,68.0,P,1,0.0,8.320448113956559,5.963579343618446,6.794586580876499,1.0986122886681098,5388,8.592115117933497,4,1,0,0
correct,1,1,0.9908501673212693,0.9908501673212693,670830,,Europe,1.0,Relaxation,37.0,0.0,0,0,0,0,0,9747,3,276,TravelAgent,Middle,TikTok,1,2023,2,1,0,58,,,,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,0,0,0.09798386473384194,0.9020161352661581,648747,PromoA,Europe,0.0,Adventure,44.0,1.0,0,1223,78,1418,1239,7067,4,291,Phone,Middle,TV,0,2023,5,3,0,130,D,78.0,S,1,0.0,7.1098794630722715,4.3694478524670215,7.257707677160043,7.122866658599083,3958,8.28374674710613,4,0,0,0
correct,0,0,0.40586516068806155,0.5941348393119384,508320,,AsiaPacific,0.0,Relaxation,30.0,0.0,0,0,0,0,0,3427,5,83,TravelAgent,Young,Facebook,0,2024,2,0,0,400,E,467.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
correct,1,1,0.9420658046125805,0.9420658046125805,429940,PromoA,Europe,1.0,Relaxation,26.0,0.0,0,0,0,0,0,1680,5,139,Website,Young,Instagram,1,2024,12,4,0,705,D,236.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
correct,0,0,0.12075239466604538,0.8792476053339546,716292,PromoB,Americas,0.0,Adventure,22.0,0.0,176,30,0,0,673,7638,1,234,Mobile,Young,Radio,0,2023,6,0,0,169,F,459.0,S,1,5.176149732573829,3.4339872044851463,0.0,0.0,6.513230110912307,879,6.779921907472252,3,0,0,0
correct,0,0,0.009054270298300717,0.9909457297016993,419979,,Europe,0.0,Relaxation,30.0,0.0,0,95,0,1202,5558,4784,3,200,TravelAgent,Young,Friend,0,2024,1,5,1,391,C,173.0,P,1,0.0,4.564348191467836,0.0,7.0925737159746784,8.62317351495347,6855,8.832879460277615,3,1,0,0
